GEOCODIGO;MUNICIPIO;UF;REGIAO;MESO;MICRO;LATITUDE;LONGITUDE
1100015;Alta Floresta D'Oeste;RO;Norte;LESTE RONDONIENSE;CACOAL;-11.929;-61.996
1100023;Ariquemes;RO;Norte;LESTE RONDONIENSE;ARIQUEMES;-9.913;-63.041
1100031;Cabixi;RO;Norte;LESTE RONDONIENSE;COLORADO DO OESTE;-13.492;-60.545
1100049;Cacoal;RO;Norte;LESTE RONDONIENSE;CACOAL;-11.438;-61.448
1100056;Cerejeiras;RO;Norte;LESTE RONDONIENSE;COLORADO DO OESTE;-13.189;-60.812
1100064;Colorado do Oeste;RO;Norte;LESTE RONDONIENSE;COLORADO DO OESTE;-13.117;-60.542
1100072;Corumbiara;RO;Norte;LESTE RONDONIENSE;COLORADO DO OESTE;-12.962;-60.887
1100080;Costa Marques;RO;Norte;MADEIRA-GUAPORE;GUAJARA-MIRIM;-12.445;-64.227
1100098;Espigão D'Oeste;RO;Norte;LESTE RONDONIENSE;CACOAL;-11.525;-61.013
1100106;Guajará-Mirim;RO;Norte;MADEIRA-GUAPORE;GUAJARA-MIRIM;-10.783;-65.339
1100114;Jaru;RO;Norte;LESTE RONDONIENSE;JI-PARANA;-10.439;-62.466
1100122;Ji-Paraná;RO;Norte;LESTE RONDONIENSE;JI-PARANA;-10.882;-61.944
1100130;Machadinho D'Oeste;RO;Norte;LESTE RONDONIENSE;ARIQUEMES;-9.444;-61.981
1100148;Nova Brasilândia D'Oeste;RO;Norte;LESTE RONDONIENSE;ALVORADA D'OESTE;-11.725;-62.331
1100155;Ouro Preto do Oeste;RO;Norte;LESTE RONDONIENSE;JI-PARANA;-10.716;-62.248
1100189;Pimenta Bueno;RO;Norte;LESTE RONDONIENSE;VILHENA;-11.673;-61.193
1100205;Porto Velho;RO;Norte;MADEIRA-GUAPORE;PORTO VELHO;-8.762;-63.904
1100254;Presidente Médici;RO;Norte;LESTE RONDONIENSE;JI-PARANA;-11.176;-61.901
1100262;Rio Crespo;RO;Norte;LESTE RONDONIENSE;ARIQUEMES;-9.705;-62.900
1100288;Rolim de Moura;RO;Norte;LESTE RONDONIENSE;CACOAL;-11.733;-61.778
1100296;Santa Luzia D'Oeste;RO;Norte;LESTE RONDONIENSE;CACOAL;-11.902;-61.779
1100304;Vilhena;RO;Norte;LESTE RONDONIENSE;VILHENA;-12.741;-60.146
1100320;São Miguel do Guaporé;RO;Norte;LESTE RONDONIENSE;ALVORADA D'OESTE;-11.681;-62.684
1100338;Nova Mamoré;RO;Norte;MADEIRA-GUAPORE;PORTO VELHO;-10.411;-65.331
1100346;Alvorada D'Oeste;RO;Norte;LESTE RONDONIENSE;ALVORADA D'OESTE;-11.408;-62.389
1100379;Alto Alegre dos Parecis;RO;Norte;LESTE RONDONIENSE;CACOAL;-12.128;-61.851
1100403;Alto Paraíso;RO;Norte;LESTE RONDONIENSE;ARIQUEMES;-9.713;-63.321
1100452;Buritis;RO;Norte;MADEIRA-GUAPORE;PORTO VELHO;-10.212;-63.829
1100502;Novo Horizonte do Oeste;RO;Norte;LESTE RONDONIENSE;CACOAL;-11.710;-62.000
1100601;Cacaulândia;RO;Norte;LESTE RONDONIENSE;ARIQUEMES;-10.340;-62.896
1100700;Campo Novo de Rondônia;RO;Norte;MADEIRA-GUAPORE;PORTO VELHO;-10.571;-63.627
1100809;Candeias do Jamari;RO;Norte;MADEIRA-GUAPORE;PORTO VELHO;-8.791;-63.701
1100908;Castanheiras;RO;Norte;LESTE RONDONIENSE;CACOAL;-11.427;-61.950
1100924;Chupinguaia;RO;Norte;LESTE RONDONIENSE;VILHENA;-12.552;-60.900
1100940;Cujubim;RO;Norte;MADEIRA-GUAPORE;PORTO VELHO;-9.363;-62.585
1101005;Governador Jorge Teixeira;RO;Norte;LESTE RONDONIENSE;JI-PARANA;-10.610;-62.737
1101104;Itapuã do Oeste;RO;Norte;MADEIRA-GUAPORE;PORTO VELHO;-9.205;-63.180
1101203;Ministro Andreazza;RO;Norte;LESTE RONDONIENSE;CACOAL;-11.196;-61.517
1101302;Mirante da Serra;RO;Norte;LESTE RONDONIENSE;JI-PARANA;-11.030;-62.675
1101401;Monte Negro;RO;Norte;LESTE RONDONIENSE;ARIQUEMES;-10.246;-63.290
1101435;Nova União;RO;Norte;LESTE RONDONIENSE;JI-PARANA;-10.904;-62.561
1101450;Parecis;RO;Norte;LESTE RONDONIENSE;VILHENA;-12.175;-61.603
1101468;Pimenteiras do Oeste;RO;Norte;LESTE RONDONIENSE;COLORADO DO OESTE;-13.483;-61.047
1101476;Primavera de Rondônia;RO;Norte;LESTE RONDONIENSE;VILHENA;-11.828;-61.321
1101484;São Felipe D'Oeste;RO;Norte;LESTE RONDONIENSE;VILHENA;-11.903;-61.502
1101492;São Francisco do Guaporé;RO;Norte;MADEIRA-GUAPORE;GUAJARA-MIRIM;-12.062;-63.569
1101500;Seringueiras;RO;Norte;LESTE RONDONIENSE;ALVORADA D'OESTE;-11.798;-63.031
1101559;Teixeirópolis;RO;Norte;LESTE RONDONIENSE;JI-PARANA;-10.918;-62.249
1101609;Theobroma;RO;Norte;LESTE RONDONIENSE;JI-PARANA;-10.244;-62.355
1101708;Urupá;RO;Norte;LESTE RONDONIENSE;JI-PARANA;-11.125;-62.376
1101757;Vale do Anari;RO;Norte;LESTE RONDONIENSE;ARIQUEMES;-9.863;-62.186
1101807;Vale do Paraíso;RO;Norte;LESTE RONDONIENSE;JI-PARANA;-10.449;-62.134
1200013;Acrelândia;AC;Norte;VALE DO ACRE;RIO BRANCO;-9.828;-66.883
1200054;Assis Brasil;AC;Norte;VALE DO ACRE;BRASILEIA;-10.941;-69.567
1200104;Brasiléia;AC;Norte;VALE DO ACRE;BRASILEIA;-11.010;-68.748
1200138;Bujari;AC;Norte;VALE DO ACRE;RIO BRANCO;-9.831;-67.952
1200179;Capixaba;AC;Norte;VALE DO ACRE;RIO BRANCO;-10.573;-67.676
1200203;Cruzeiro do Sul;AC;Norte;VALE DO JURUA;CRUZEIRO DO SUL;-7.631;-72.670
1200252;Epitaciolândia;AC;Norte;VALE DO ACRE;BRASILEIA;-11.029;-68.741
1200302;Feijó;AC;Norte;VALE DO JURUA;TARAUACA;-8.164;-70.354
1200328;Jordão;AC;Norte;VALE DO JURUA;TARAUACA;-9.434;-71.884
1200336;Mâncio Lima;AC;Norte;VALE DO JURUA;CRUZEIRO DO SUL;-7.614;-72.896
1200344;Manoel Urbano;AC;Norte;VALE DO ACRE;SENA MADUREIRA;-8.839;-69.260
1200351;Marechal Thaumaturgo;AC;Norte;VALE DO JURUA;CRUZEIRO DO SUL;-8.941;-72.792
1200385;Plácido de Castro;AC;Norte;VALE DO ACRE;RIO BRANCO;-10.276;-67.150
1200393;Porto Walter;AC;Norte;VALE DO JURUA;CRUZEIRO DO SUL;-8.269;-72.744
1200401;Rio Branco;AC;Norte;VALE DO ACRE;RIO BRANCO;-9.975;-67.810
1200427;Rodrigues Alves;AC;Norte;VALE DO JURUA;CRUZEIRO DO SUL;-7.742;-72.647
1200435;Santa Rosa do Purus;AC;Norte;VALE DO ACRE;SENA MADUREIRA;-9.433;-70.493
1200450;Senador Guiomard;AC;Norte;VALE DO ACRE;RIO BRANCO;-10.151;-67.736
1200500;Sena Madureira;AC;Norte;VALE DO ACRE;SENA MADUREIRA;-9.066;-68.657
1200609;Tarauacá;AC;Norte;VALE DO JURUA;TARAUACA;-8.161;-70.766
1200708;Xapuri;AC;Norte;VALE DO ACRE;BRASILEIA;-10.652;-68.504
1200807;Porto Acre;AC;Norte;VALE DO ACRE;RIO BRANCO;-9.588;-67.533
1300029;Alvarães;AM;Norte;CENTRO AMAZONENSE;TEFE;-3.221;-64.804
1300060;Amaturá;AM;Norte;SUDOESTE AMAZONENSE;ALTO SOLIMOES;-3.364;-68.198
1300086;Anamã;AM;Norte;CENTRO AMAZONENSE;COARI;-3.580;-61.404
1300102;Anori;AM;Norte;CENTRO AMAZONENSE;COARI;-3.773;-61.644
1300144;Apuí;AM;Norte;SUL AMAZONENSE;MADEIRA;-7.197;-59.891
1300201;Atalaia do Norte;AM;Norte;SUDOESTE AMAZONENSE;ALTO SOLIMOES;-4.372;-70.192
1300300;Autazes;AM;Norte;CENTRO AMAZONENSE;MANAUS;-3.580;-59.131
1300409;Barcelos;AM;Norte;NORTE AMAZONENSE;RIO NEGRO;-0.975;-62.924
1300508;Barreirinha;AM;Norte;CENTRO AMAZONENSE;PARINTINS;-2.793;-57.070
1300607;Benjamin Constant;AM;Norte;SUDOESTE AMAZONENSE;ALTO SOLIMOES;-4.383;-70.031
1300631;Beruri;AM;Norte;CENTRO AMAZONENSE;COARI;-3.898;-61.373
1300680;Boa Vista do Ramos;AM;Norte;CENTRO AMAZONENSE;PARINTINS;-2.970;-57.590
1300706;Boca do Acre;AM;Norte;SUL AMAZONENSE;BOCA DO ACRE;-8.752;-67.398
1300805;Borba;AM;Norte;SUL AMAZONENSE;MADEIRA;-4.388;-59.594
1300839;Caapiranga;AM;Norte;CENTRO AMAZONENSE;COARI;-3.328;-61.209
1300904;Canutama;AM;Norte;SUL AMAZONENSE;PURUS;-6.534;-64.383
1301001;Carauari;AM;Norte;SUDOESTE AMAZONENSE;JURUA;-4.883;-66.896
1301100;Careiro;AM;Norte;CENTRO AMAZONENSE;MANAUS;-3.768;-60.369
1301159;Careiro da Várzea;AM;Norte;CENTRO AMAZONENSE;MANAUS;-3.221;-59.826
1301209;Coari;AM;Norte;CENTRO AMAZONENSE;COARI;-4.085;-63.141
1301308;Codajás;AM;Norte;CENTRO AMAZONENSE;COARI;-3.837;-62.057
1301407;Eirunepé;AM;Norte;SUDOESTE AMAZONENSE;JURUA;-6.660;-69.874
1301506;Envira;AM;Norte;SUDOESTE AMAZONENSE;JURUA;-7.433;-70.023
1301605;Fonte Boa;AM;Norte;SUDOESTE AMAZONENSE;ALTO SOLIMOES;-2.514;-66.092
1301654;Guajará;AM;Norte;SUDOESTE AMAZONENSE;JURUA;-7.546;-72.584
1301704;Humaitá;AM;Norte;SUL AMAZONENSE;MADEIRA;-7.506;-63.021
1301803;Ipixuna;AM;Norte;SUDOESTE AMAZONENSE;JURUA;-7.051;-71.695
1301852;Iranduba;AM;Norte;CENTRO AMAZONENSE;MANAUS;-3.285;-60.186
1301902;Itacoatiara;AM;Norte;CENTRO AMAZONENSE;ITACOATIARA;-3.143;-58.444
1301951;Itamarati;AM;Norte;SUDOESTE AMAZONENSE;JURUA;-6.425;-68.253
1302009;Itapiranga;AM;Norte;CENTRO AMAZONENSE;ITACOATIARA;-2.749;-58.022
1302108;Japurá;AM;Norte;NORTE AMAZONENSE;JAPURA;-1.826;-66.599
1302207;Juruá;AM;Norte;SUDOESTE AMAZONENSE;JURUA;-3.481;-66.069
1302306;Jutaí;AM;Norte;SUDOESTE AMAZONENSE;ALTO SOLIMOES;-2.747;-66.767
1302405;Lábrea;AM;Norte;SUL AMAZONENSE;PURUS;-7.259;-64.798
1302504;Manacapuru;AM;Norte;CENTRO AMAZONENSE;MANAUS;-3.300;-60.621
1302553;Manaquiri;AM;Norte;CENTRO AMAZONENSE;MANAUS;-3.428;-60.459
1302603;Manaus;AM;Norte;CENTRO AMAZONENSE;MANAUS;-3.102;-60.025
1302702;Manicoré;AM;Norte;SUL AMAZONENSE;MADEIRA;-5.809;-61.300
1302801;Maraã;AM;Norte;NORTE AMAZONENSE;JAPURA;-1.856;-65.581
1302900;Maués;AM;Norte;CENTRO AMAZONENSE;PARINTINS;-3.384;-57.719
1303007;Nhamundá;AM;Norte;CENTRO AMAZONENSE;PARINTINS;-2.186;-56.713
1303106;Nova Olinda do Norte;AM;Norte;CENTRO AMAZONENSE;ITACOATIARA;-3.888;-59.094
1303205;Novo Airão;AM;Norte;NORTE AMAZONENSE;RIO NEGRO;-2.621;-60.944
1303304;Novo Aripuanã;AM;Norte;SUL AMAZONENSE;MADEIRA;-5.121;-60.380
1303403;Parintins;AM;Norte;CENTRO AMAZONENSE;PARINTINS;-2.628;-56.736
1303502;Pauini;AM;Norte;SUL AMAZONENSE;BOCA DO ACRE;-7.714;-66.976
1303536;Presidente Figueiredo;AM;Norte;CENTRO AMAZONENSE;RIO PRETO DA EVA;-2.034;-60.025
1303569;Rio Preto da Eva;AM;Norte;CENTRO AMAZONENSE;RIO PRETO DA EVA;-2.699;-59.700
1303601;Santa Isabel do Rio Negro;AM;Norte;NORTE AMAZONENSE;RIO NEGRO;-0.414;-65.019
1303700;Santo Antônio do Içá;AM;Norte;SUDOESTE AMAZONENSE;ALTO SOLIMOES;-3.102;-67.940
1303809;São Gabriel da Cachoeira;AM;Norte;NORTE AMAZONENSE;RIO NEGRO;-0.130;-67.089
1303908;São Paulo de Olivença;AM;Norte;SUDOESTE AMAZONENSE;ALTO SOLIMOES;-3.378;-68.873
1303957;São Sebastião do Uatumã;AM;Norte;CENTRO AMAZONENSE;PARINTINS;-2.572;-57.871
1304005;Silves;AM;Norte;CENTRO AMAZONENSE;ITACOATIARA;-2.839;-58.209
1304062;Tabatinga;AM;Norte;SUDOESTE AMAZONENSE;ALTO SOLIMOES;-4.253;-69.938
1304104;Tapauá;AM;Norte;SUL AMAZONENSE;PURUS;-5.628;-63.183
1304203;Tefé;AM;Norte;CENTRO AMAZONENSE;TEFE;-3.354;-64.711
1304237;Tonantins;AM;Norte;SUDOESTE AMAZONENSE;ALTO SOLIMOES;-2.873;-67.802
1304260;Uarini;AM;Norte;CENTRO AMAZONENSE;TEFE;-2.990;-65.108
