geo_cod;nome;uf;id_uf;reg;mesoreg;microreg;lat;long;sede;total;pop-homem;pop-mulher;pop-urbano;pop-urbano-homem;pop-urbano-mulher;pop-rural;pop-rural-homem;pop-rural-mulher
1100015;Alta Floresta D'Oeste;RO;11;Norte;LESTE RONDONIENSE;CACOAL;-11.929;-61.996;True;23857;12302;11508;13373;6618;6739;10484;5684;4769
1100023;Ariquemes;RO;11;Norte;LESTE RONDONIENSE;ARIQUEMES;-9.913;-63.041;True;82388;41692;40331;63613;31581;31747;18775;10111;8584
1100031;Cabixi;RO;11;Norte;LESTE RONDONIENSE;COLORADO DO OESTE;-13.492;-60.545;True;6575;3372;3181;2542;1233;1287;4033;2139;1894
1100049;Cacoal;RO;11;Norte;LESTE RONDONIENSE;CACOAL;-11.438;-61.448;True;76155;38045;38088;58393;28546;29837;17762;9499;8251
1100056;Cerejeiras;RO;11;Norte;LESTE RONDONIENSE;COLORADO DO OESTE;-13.189;-60.812;True;16290;8212;8078;13634;6756;6878;2656;1456;1200
1100064;Colorado do Oeste;RO;11;Norte;LESTE RONDONIENSE;COLORADO DO OESTE;-13.117;-60.542;True;17644;8838;8781;12592;6137;6430;5052;2701;2351
1100072;Corumbiara;RO;11;Norte;LESTE RONDONIENSE;COLORADO DO OESTE;-12.962;-60.887;True;9476;5138;4318;2421;1241;1180;7055;3897;3138
1100080;Costa Marques;RO;11;Norte;MADEIRA-GUAPORE;GUAJARA-MIRIM;-12.445;-64.227;True;13664;7256;6375;7219;3743;3465;6445;3513;2910
1100098;Espigão D'Oeste;RO;11;Norte;LESTE RONDONIENSE;CACOAL;-11.525;-61.013;True;27867;14076;13564;19360;9576;9642;8507;4500;3922
1100106;Guajará-Mirim;RO;11;Norte;MADEIRA-GUAPORE;GUAJARA-MIRIM;-10.783;-65.339;True;39451;19295;18914;33373;15969;16273;6078;3326;2641
1100114;Jaru;RO;11;Norte;LESTE RONDONIENSE;JI-PARANA;-10.439;-62.466;True;52453;26315;25925;34890;17098;17665;17563;9217;8260
1100122;Ji-Paraná;RO;11;Norte;LESTE RONDONIENSE;JI-PARANA;-10.882;-61.944;True;107679;53262;54113;94704;46319;48106;12975;6943;6007
1100130;Machadinho D'Oeste;RO;11;Norte;LESTE RONDONIENSE;ARIQUEMES;-9.444;-61.981;True;31475;16715;14424;16370;8348;7811;15105;8367;6613
1100148;Nova Brasilândia D'Oeste;RO;11;Norte;LESTE RONDONIENSE;ALVORADA D'OESTE;-11.725;-62.331;True;17170;8944;8161;7998;3977;3992;9172;4967;4169
1100155;Ouro Preto do Oeste;RO;11;Norte;LESTE RONDONIENSE;JI-PARANA;-10.716;-62.248;True;36040;17655;18231;25958;12363;13480;10082;5292;4751
1100189;Pimenta Bueno;RO;11;Norte;LESTE RONDONIENSE;VILHENA;-11.673;-61.193;True;32893;16608;16280;28019;13972;14042;4874;2636;2238
1100205;Porto Velho;RO;11;Norte;MADEIRA-GUAPORE;PORTO VELHO;-8.762;-63.904;True;369345;182094;184172;304228;148388;154452;65117;33706;29720
1100254;Presidente Médici;RO;11;Norte;LESTE RONDONIENSE;JI-PARANA;-11.176;-61.901;True;22197;11252;10935;12977;6338;6639;9220;4914;4296
1100262;Rio Crespo;RO;11;Norte;LESTE RONDONIENSE;ARIQUEMES;-9.705;-62.9;True;3174;1710;1462;973;480;493;2201;1230;969
1100288;Rolim de Moura;RO;11;Norte;LESTE RONDONIENSE;CACOAL;-11.733;-61.778;True;48894;24481;24320;39086;19335;19661;9808;5146;4659
