SIGLA;CODIBGE;NOMEMUNI;IDH1991;IDH2000
GO;5200050;Abadia de Goiás;0.658;0.742
GO;5200100;Abadiânia;0.652;0.723
GO;5200134;Acreúna;0.664;0.763
GO;5200159;Adelândia;0.618;0.715
GO;5200175;Água Fria de Goiás;0.6;0.695
GO;5200209;Água Limpa;0.672;0.739
GO;5200258;Águas Lindas de Goiás;0.634;0.717
GO;5200308;Alexânia;0.622;0.696
GO;5200506;Aloândia;0.675;0.743
GO;5200555;Alto Horizonte;0.612;0.743
GO;5200605;Alto Paraíso de Goiás;0.625;0.738
GO;5200803;Alvorada do Norte;0.617;0.688
GO;5200829;Amaralina;0.558;0.648
GO;5200852;Americano do Brasil;0.634;0.732
GO;5200902;Amorinópolis;0.649;0.732
GO;5201108;Anápolis;0.721;0.788
GO;5201207;Anhanguera;0.71;0.802
GO;5201306;Anicuns;0.635;0.721
GO;5201405;Aparecida de Goiânia;0.677;0.764
GO;5201454;Aparecida do Rio Doce;0.632;0.754
GO;5201504;Aporé;0.652;0.752
GO;5201603;Araçu;0.647;0.733
GO;5201702;Aragarças;0.653;0.748
GO;5201801;Aragoiânia;0.676;0.759
GO;5202155;Araguapaz;0.61;0.729
GO;5202353;Arenópolis;0.649;0.739
GO;5202502;Aruanã;0.629;0.721
GO;5202601;Aurilândia;0.665;0.732
GO;5202809;Avelinópolis;0.653;0.737
GO;5203104;Baliza;0.621;0.715
GO;5203203;Barro Alto;0.624;0.708
GO;5203302;Bela Vista de Goiás;0.696;0.744
GO;5203401;Bom Jardim de Goiás;0.651;0.737
GO;5203500;Bom Jesus de Goiás;0.68;0.772
GO;5203559;Bonfinópolis;0.636;0.723
GO;5203575;Bonópolis;0.582;0.683
GO;5203609;Brazabrantes;0.661;0.749
GO;5203807;Britânia;0.617;0.723
GO;5203906;Buriti Alegre;0.675;0.758
GO;5203939;Buriti de Goiás;0.632;0.731
GO;5203962;Buritinópolis;0.521;0.6
GO;5204003;Cabeceiras;0.635;0.695
GO;5204102;Cachoeira Alta;0.673;0.737
GO;5204201;Cachoeira de Goiás;0.648;0.704
GO;5204250;Cachoeira Dourada;0.653;0.759
GO;5204300;Caçu;0.706;0.783
GO;5204409;Caiapônia;0.67;0.735
GO;5204508;Caldas Novas;0.734;0.802
GO;5204557;Caldazinha;0.643;0.742
GO;5204607;Campestre de Goiás;0.631;0.715
GO;5204656;Campinaçu;0.622;0.733
GO;5204706;Campinorte;0.667;0.75
GO;5204805;Campo Alegre de Goiás;0.708;0.802
GO;5204854;Campo Limpo de Goiás;;
GO;5204904;Campos Belos;0.638;0.708
GO;5204953;Campos Verdes;0.589;0.694
GO;5205000;Carmo do Rio Verde;0.649;0.728
GO;5205059;Castelândia;0.637;0.732
GO;5205109;Catalão;0.724;0.818
GO;5205208;Caturaí;0.637;0.728
GO;5205307;Cavalcante;0.514;0.609
GO;5205406;Ceres;0.707;0.782
GO;5205455;Cezarina;0.651;0.747
GO;5205471;Chapadão do Céu;0.713;0.834
GO;5205497;Cidade Ocidental;0.756;0.795
GO;5205513;Cocalzinho de Goiás;0.614;0.704
GO;5205521;Colinas do Sul;0.585;0.671
GO;5205703;Córrego do Ouro;0.649;0.726
GO;5205802;Corumbá de Goiás;0.654;0.716
GO;5205901;Corumbaíba;0.677;0.767
GO;5206206;Cristalina;0.688;0.761
GO;5206305;Cristianópolis;0.667;0.771
GO;5206404;Crixás;0.648;0.717
GO;5206503;Cromínia;0.674;0.769
GO;5206602;Cumari;0.681;0.756
GO;5206701;Damianópolis;0.546;0.634
GO;5206800;Damolândia;0.665;0.739
GO;5206909;Davinópolis;0.678;0.733
GO;5207105;Diorama;0.642;0.733
GO;5207253;Doverlândia;0.603;0.71
GO;5207352;Edealina;0.67;0.768
GO;5207402;Edéia;0.682;0.759
GO;5207501;Estrela do Norte;0.649;0.746
GO;5207535;Faina;0.603;0.703
GO;5207600;Fazenda Nova;0.658;0.746
GO;5207808;Firminópolis;0.664;0.745
GO;5207907;Flores de Goiás;0.52;0.642
GO;5208004;Formosa;0.698;0.75
GO;5208103;Formoso;0.668;0.737
GO;5208152;Gameleira de Goiás;;
GO;5208301;Divinópolis de Goiás;0.596;0.675
GO;5208400;Goianápolis;0.632;0.689
GO;5208509;Goiandira;0.692;0.765
GO;5208608;Goianésia;0.671;0.743
GO;5208707;Goiânia;0.778;0.832
GO;5208806;Goianira;0.676;0.74
GO;5208905;Goiás;0.652;0.736
GO;5209101;Goiatuba;0.729;0.812
GO;5209150;Gouvelândia;0.648;0.738
GO;5209200;Guapó;0.672;0.729
GO;5209291;Guaraíta;0.604;0.697
GO;5209408;Guarani de Goiás;0.546;0.632
GO;5209457;Guarinos;0.568;0.694
GO;5209606;Heitoraí;0.658;0.744
GO;5209705;Hidrolândia;0.635;0.736
GO;5209804;Hidrolina;0.643;0.737
GO;5209903;Iaciara;0.608;0.704
GO;5209937;Inaciolândia;0.648;0.717
GO;5209952;Indiara;0.652;0.73
GO;5210000;Inhumas;0.677;0.765
GO;5210109;Ipameri;0.691;0.758
GO;5210158;Ipiranga de Goiás;;
GO;5210208;Iporá;0.705;0.78
GO;5210307;Israelândia;0.658;0.73
GO;5210406;Itaberaí;0.661;0.739
GO;5210562;Itaguari;0.641;0.72
GO;5210604;Itaguaru;0.656;0.746
GO;5210802;Itajá;0.66;0.747
