SIGLA;CODIBGE;NOMEMUNI;RENDA1991;RENDA2000
GO;5200050;Abadia de Goiás;134,535;205,27
GO;5200100;Abadiânia;136,501;168,306
GO;5200134;Acreúna;166,944;249,956
GO;5200159;Adelândia;134,798;164,756
GO;5200175;Água Fria de Goiás;115,241;143,08
GO;5200209;Água Limpa;157,254;231,213
GO;5200258;Águas Lindas de Goiás;140,991;150,347
GO;5200308;Alexânia;112,962;168,607
GO;5200506;Aloândia;128,186;226,047
GO;5200555;Alto Horizonte;105,458;178,175
GO;5200605;Alto Paraíso de Goiás;113,118;203,05
GO;5200803;Alvorada do Norte;108,848;150,832
GO;5200829;Amaralina;99,712;89,305
GO;5200852;Americano do Brasil;139,757;204,952
GO;5200902;Amorinópolis;148,326;177,852
GO;5201108;Anápolis;234,126;293,89
GO;5201207;Anhanguera;136,215;190,669
GO;5201306;Anicuns;128,914;217,933
GO;5201405;Aparecida de Goiânia;150,587;201,683
GO;5201454;Aparecida do Rio Doce;133,762;218,703
GO;5201504;Aporé;143,138;273,284
GO;5201603;Araçu;122,684;157,901
GO;5201702;Aragarças;134,443;188,59
GO;5201801;Aragoiânia;131,78;199,016
GO;5202155;Araguapaz;108,613;213,515
GO;5202353;Arenópolis;139,25;169,508
GO;5202502;Aruanã;151,572;193,322
GO;5202601;Aurilândia;168,975;175,301
GO;5202809;Avelinópolis;139,911;220,542
GO;5203104;Baliza;84,805;136,509
GO;5203203;Barro Alto;95,705;143,905
GO;5203302;Bela Vista de Goiás;173,257;199,217
GO;5203401;Bom Jardim de Goiás;138,185;177,577
GO;5203500;Bom Jesus de Goiás;177,067;240,91
GO;5203559;Bonfinópolis;133,3;196,565
GO;5203575;Bonópolis;96,076;148,43
GO;5203609;Brazabrantes;123,105;156,91
GO;5203807;Britânia;132,738;178,564
GO;5203906;Buriti Alegre;197,225;229,417
GO;5203939;Buriti de Goiás;96,697;158,364
GO;5203962;Buritinópolis;58,442;68,889
GO;5204003;Cabeceiras;108,136;149,264
GO;5204102;Cachoeira Alta;193,106;251,537
GO;5204201;Cachoeira de Goiás;148,938;171,805
GO;5204250;Cachoeira Dourada;167,901;223,839
GO;5204300;Caçu;241,815;276,404
GO;5204409;Caiapônia;168,036;187,643
GO;5204508;Caldas Novas;240,029;351,821
GO;5204557;Caldazinha;118,987;219,014
GO;5204607;Campestre de Goiás;111,395;157,68
GO;5204656;Campinaçu;109,683;135,599
GO;5204706;Campinorte;116,272;167,988
GO;5204805;Campo Alegre de Goiás;222,744;294,208
GO;5204854;Campo Limpo de Goiás;;
GO;5204904;Campos Belos;135,008;147,725
GO;5204953;Campos Verdes;133,766;143,043
GO;5205000;Carmo do Rio Verde;109,162;174,268
GO;5205059;Castelândia;138,034;209,71
GO;5205109;Catalão;207,343;303,489
GO;5205208;Caturaí;113,344;167,392
GO;5205307;Cavalcante;70,569;91,495
GO;5205406;Ceres;204,502;275,505
GO;5205455;Cezarina;144,666;182,1
GO;5205471;Chapadão do Céu;192,227;381,029
GO;5205497;Cidade Ocidental;221,967;259,11
GO;5205513;Cocalzinho de Goiás;122,656;138,4
GO;5205521;Colinas do Sul;99,277;125,675
GO;5205703;Córrego do Ouro;124,999;162,962
GO;5205802;Corumbá de Goiás;124,389;175,441
GO;5205901;Corumbaíba;160,518;217,24
GO;5206206;Cristalina;155,957;221,351
GO;5206305;Cristianópolis;172,203;252,91
GO;5206404;Crixás;181,335;170,428
GO;5206503;Cromínia;147,298;227,81
GO;5206602;Cumari;136,113;198,988
GO;5206701;Damianópolis;73,59;86,714
GO;5206800;Damolândia;128,857;172,288
GO;5206909;Davinópolis;136,301;169,566
GO;5207105;Diorama;115,777;159,211
GO;5207253;Doverlândia;116,749;175,619
GO;5207352;Edealina;143,01;206,82
GO;5207402;Edéia;191,651;266,671
GO;5207501;Estrela do Norte;111,536;169,33
GO;5207535;Faina;112,462;160,233
GO;5207600;Fazenda Nova;132,229;166,946
GO;5207808;Firminópolis;160,77;189,288
GO;5207907;Flores de Goiás;78,14;111,656
GO;5208004;Formosa;231,741;230,866
GO;5208103;Formoso;139,278;169,832
GO;5208152;Gameleira de Goiás;;
GO;5208301;Divinópolis de Goiás;92,638;103,447
GO;5208400;Goianápolis;134,995;147,649
GO;5208509;Goiandira;155,651;224,941
GO;5208608;Goianésia;158,237;202,499
GO;5208707;Goiânia;359,199;508,296
GO;5208806;Goianira;126,006;179,027
GO;5208905;Goiás;155,73;197,544
GO;5209101;Goiatuba;223,378;339,931
GO;5209150;Gouvelândia;153,901;191,453
GO;5209200;Guapó;154,179;182,433
GO;5209291;Guaraíta;101,135;129,672
GO;5209408;Guarani de Goiás;59,704;89,658
GO;5209457;Guarinos;79,896;145,726
GO;5209606;Heitoraí;123,728;189,659
GO;5209705;Hidrolândia;114,517;210,992
GO;5209804;Hidrolina;116,469;220,925
GO;5209903;Iaciara;103,805;119,392
GO;5209937;Inaciolândia;142,682;206,341
GO;5209952;Indiara;167,818;193,262
GO;5210000;Inhumas;190,997;256,276
GO;5210109;Ipameri;155,349;214,698
GO;5210158;Ipiranga de Goiás;;
GO;5210208;Iporá;176,202;232,029
GO;5210307;Israelândia;124,634;167,735
GO;5210406;Itaberaí;166,335;254,248
GO;5210562;Itaguari;129,062;199,565
GO;5210604;Itaguaru;133,583;222,46
GO;5210802;Itajá;180,165;216,734
GO;5210901;Itapaci;157,11;173,381
GO;5211008;Itapirapuã;137,291;150,698
GO;5211206;Itapuranga;151,471;219,464
GO;5211305;Itarumã;209,905;265,6
GO;5211404;Itauçu;128,074;163,819
GO;5211503;Itumbiara;228,66;289,318
GO;5211602;Ivolândia;125,489;168,405
GO;5211701;Jandaia;156,406;189,217
GO;5211800;Jaraguá;125,197;194,481
GO;5211909;Jataí;236,295;304,95
GO;5212006;Jaupaci;160,195;169,359
GO;5212055;Jesúpolis;113,788;171,638
GO;5212105;Joviânia;206,763;325,604
GO;5212204;Jussara;176,689;211,525
GO;5212253;Lagoa Santa;;
GO;5212303;Leopoldo de Bulhões;135,15;194,274
GO;5212501;Luziânia;176,239;209,95
GO;5212600;Mairipotaba;156,627;236,071
GO;5212709;Mambaí;65,34;95,947
GO;5212808;Mara Rosa;150,082;154,262
GO;5212907;Marzagão;153,784;222,072
GO;5212956;Matrinchã;128,164;161,148
GO;5213004;Maurilândia;180,452;184,775
GO;5213053;Mimoso de Goiás;84,855;117,295
GO;5213087;Minaçu;142,146;187,431
GO;5213103;Mineiros;262,484;289,857
GO;5213400;Moiporá;132,421;176,395
GO;5213509;Monte Alegre de Goiás;81,837;91,353
GO;5213707;Montes Claros de Goiás;164,108;194,332
GO;5213756;Montividiu;229,147;383,357
GO;5213772;Montividiu do Norte;80,78;95,821
GO;5213806;Morrinhos;179,156;348,563
GO;5213855;Morro Agudo de Goiás;111,265;159,979
GO;5213905;Mossâmedes;113,359;194,118
GO;5214002;Mozarlândia;139,426;202,632
GO;5214051;Mundo Novo;129,767;153,625
GO;5214101;Mutunópolis;101,875;165,784
GO;5214408;Nazário;134,539;202,017
GO;5214507;Nerópolis;146,325;232,173
GO;5214606;Niquelândia;125,403;209,602
GO;5214705;Nova América;114,522;147,169
GO;5214804;Nova Aurora;131,78;236,886
GO;5214838;Nova Crixás;145,144;189,124
GO;5214861;Nova Glória;103,723;147,257
GO;5214879;Nova Iguaçu de Goiás;122,773;182,954
GO;5214903;Nova Roma;83,003;103,788
GO;5215009;Nova Veneza;125,462;169,981
GO;5215207;Novo Brasil;139,006;182,687
GO;5215231;Novo Gama;160,64;186,672
GO;5215256;Novo Planalto;131,34;149,179
GO;5215306;Orizona;129,19;245,554
GO;5215405;Ouro Verde de Goiás;166,716;177,283
GO;5215504;Ouvidor;152,692;211,205
GO;5215603;Padre Bernardo;101,87;163,146
GO;5215652;Palestina de Goiás;118,481;178,302
GO;5215702;Palmeiras de Goiás;167,603;185,394
GO;5215801;Palmelo;136,157;220,178
GO;5215900;Palminópolis;136,633;220,41
GO;5216007;Panamá;165,839;182,558
GO;5216304;Paranaiguara;203,43;241,722
GO;5216403;Paraúna;176,911;245,927
GO;5216452;Perolândia;131,965;211,07
GO;5216809;Petrolina de Goiás;113,392;192,064
GO;5216908;Pilar de Goiás;113,933;130,363
GO;5217104;Piracanjuba;213,712;250,503
GO;5217203;Piranhas;158,149;190,724
GO;5217302;Pirenópolis;125,012;180,76
GO;5217401;Pires do Rio;195,434;311,433
GO;5217609;Planaltina;125,396;159,141
GO;5217708;Pontalina;176,627;381,289
GO;5218003;Porangatu;150,841;295,854
GO;5218052;Porteirão;108,162;256,732
GO;5218102;Portelândia;137,037;237,931
GO;5218300;Posse;112,572;153,087
GO;5218391;Professor Jamil;123,271;203,689
GO;5218508;Quirinópolis;205,633;243,296
GO;5218607;Rialma;144,959;313,301
GO;5218706;Rianápolis;133,23;231,535
GO;5218789;Rio Quente;135,582;379,328
GO;5218805;Rio Verde;220,782;339,813
GO;5218904;Rubiataba;137,293;201,809
GO;5219001;Sanclerlândia;124,971;172,19
GO;5219100;Santa Bárbara de Goiás;114,582;172,848
GO;5219209;Santa Cruz de Goiás;145,221;261,523
GO;5219258;Santa Fé de Goiás;146,991;157,142
GO;5219308;Santa Helena de Goiás;201,465;220,851
GO;5219357;Santa Isabel;132,336;157,424
GO;5219407;Santa Rita do Araguaia;206,31;208,767
GO;5219456;Santa Rita do Novo Destino;91,598;139,489
GO;5219506;Santa Rosa de Goiás;153,728;165,587
GO;5219605;Santa Tereza de Goiás;119,259;189,885
GO;5219704;Santa Terezinha de Goiás;160,599;158,745
GO;5219712;Santo Antônio da Barra;124,649;168,513
GO;5219738;Santo Antônio de Goiás;95,997;215,349
GO;5219753;Santo Antônio do Descoberto;133,677;141,711
GO;5219803;São Domingos;83,04;106,031
GO;5219902;São Francisco de Goiás;105,543;169,986
GO;5220009;São João d'Aliança;107,447;193,13
GO;5220058;São João da Paraúna;141,458;227,277
GO;5220108;São Luís de Montes Belos;163,921;238,745
GO;5220157;São Luíz do Norte;100,269;158,003
GO;5220207;São Miguel do Araguaia;159,865;222,2
GO;5220264;São Miguel do Passa Quatro;138,485;230,391
GO;5220280;São Patrício;123,793;160,584
GO;5220405;São Simão;130,732;233,652
GO;5220454;Senador Canedo;105,503;158,249
GO;5220504;Serranópolis;199,01;241,271
GO;5220603;Silvânia;169,716;235,352
GO;5220686;Simolândia;67,016;112,472
GO;5220702;Sítio d'Abadia;69,661;96,552
GO;5221007;Taquaral de Goiás;103,235;186,408
GO;5221080;Teresina de Goiás;162,288;119,932
GO;5221197;Terezópolis de Goiás;96,126;163,745
GO;5221304;Três Ranchos;126,901;199,589
GO;5221403;Trindade;150,342;184,447
GO;5221452;Trombas;84,712;140,48
GO;5221502;Turvânia;147,202;202,136
GO;5221551;Turvelândia;131,292;181,339
GO;5221577;Uirapuru;96,148;125,046
GO;5221601;Uruaçu;160,849;192,721
GO;5221700;Uruana;183,82;201,567
GO;5221809;Urutaí;159,697;218,238
GO;5221858;Valparaíso de Goiás;246,192;284,097
GO;5221908;Varjão;124,944;175,742
GO;5222005;Vianópolis;160,012;355,471
GO;5222054;Vicentinópolis;186,19;259,839
GO;5222203;Vila Boa;97,021;127,437
GO;5222302;Vila Propício;74,623;109,248
