SIGLA;CODIBGE;NOMEMUNI;IDH1991;IDH2000;HOMICIDIOS;RENDA1991;RENDA2000
GO;5200050;Abadia de Goiás;0.658;0.742;1;134.535;205.27
GO;5200100;Abadiânia;0.652;0.723;4;136.501;168.306
GO;5200134;Acreúna;0.664;0.763;6;166.944;249.956
GO;5200159;Adelândia;0.618;0.715;;134.798;164.756
GO;5200175;Água Fria de Goiás;0.6;0.695;;115.241;143.08
GO;5200209;Água Limpa;0.672;0.739;;157.254;231.213
GO;5200258;Águas Lindas de Goiás;0.634;0.717;39;140.991;150.347
GO;5200308;Alexânia;0.622;0.696;5;112.962;168.607
GO;5200506;Aloândia;0.675;0.743;;128.186;226.047
GO;5200555;Alto Horizonte;0.612;0.743;1;105.458;178.175
GO;5200605;Alto Paraíso de Goiás;0.625;0.738;;113.118;203.05
GO;5200803;Alvorada do Norte;0.617;0.688;3;108.848;150.832
GO;5200829;Amaralina;0.558;0.648;1;99.712;89.305
GO;5200852;Americano do Brasil;0.634;0.732;1;139.757;204.952
GO;5200902;Amorinópolis;0.649;0.732;;148.326;177.852
GO;5201108;Anápolis;0.721;0.788;46;234.126;293.89
GO;5201207;Anhanguera;0.71;0.802;;136.215;190.669
GO;5201306;Anicuns;0.635;0.721;2;128.914;217.933
GO;5201405;Aparecida de Goiânia;0.677;0.764;132;150.587;201.683
GO;5201454;Aparecida do Rio Doce;0.632;0.754;;133.762;218.703
GO;5201504;Aporé;0.652;0.752;1;143.138;273.284
GO;5201603;Araçu;0.647;0.733;1;122.684;157.901
GO;5201702;Aragarças;0.653;0.748;2;134.443;188.59
GO;5201801;Aragoiânia;0.676;0.759;;131.78;199.016
GO;5202155;Araguapaz;0.61;0.729;1;108.613;213.515
GO;5202353;Arenópolis;0.649;0.739;;139.25;169.508
GO;5202502;Aruanã;0.629;0.721;;151.572;193.322
GO;5202601;Aurilândia;0.665;0.732;;168.975;175.301
GO;5202809;Avelinópolis;0.653;0.737;1;139.911;220.542
GO;5203104;Baliza;0.621;0.715;1;84.805;136.509
GO;5203203;Barro Alto;0.624;0.708;1;95.705;143.905
GO;5203302;Bela Vista de Goiás;0.696;0.744;1;173.257;199.217
GO;5203401;Bom Jardim de Goiás;0.651;0.737;5;138.185;177.577
GO;5203500;Bom Jesus de Goiás;0.68;0.772;3;177.067;240.91
GO;5203559;Bonfinópolis;0.636;0.723;1;133.3;196.565
GO;5203575;Bonópolis;0.582;0.683;;96.076;148.43
GO;5203609;Brazabrantes;0.661;0.749;;123.105;156.91
GO;5203807;Britânia;0.617;0.723;;132.738;178.564
GO;5203906;Buriti Alegre;0.675;0.758;;197.225;229.417
GO;5203939;Buriti de Goiás;0.632;0.731;;96.697;158.364
GO;5203962;Buritinópolis;0.521;0.6;;58.442;68.889
GO;5204003;Cabeceiras;0.635;0.695;8;108.136;149.264
GO;5204102;Cachoeira Alta;0.673;0.737;3;193.106;251.537
GO;5204201;Cachoeira de Goiás;0.648;0.704;;148.938;171.805
GO;5204250;Cachoeira Dourada;0.653;0.759;;167.901;223.839
GO;5204300;Caçu;0.706;0.783;2;241.815;276.404
GO;5204409;Caiapônia;0.67;0.735;1;168.036;187.643
GO;5204508;Caldas Novas;0.734;0.802;9;240.029;351.821
GO;5204557;Caldazinha;0.643;0.742;;118.987;219.014
GO;5204607;Campestre de Goiás;0.631;0.715;;111.395;157.68
GO;5204656;Campinaçu;0.622;0.733;2;109.683;135.599
GO;5204706;Campinorte;0.667;0.75;;116.272;167.988
GO;5204805;Campo Alegre de Goiás;0.708;0.802;2;222.744;294.208
GO;5204854;Campo Limpo de Goiás;;;;;
GO;5204904;Campos Belos;0.638;0.708;2;135.008;147.725
GO;5204953;Campos Verdes;0.589;0.694;1;133.766;143.043
GO;5205000;Carmo do Rio Verde;0.649;0.728;;109.162;174.268
GO;5205059;Castelândia;0.637;0.732;;138.034;209.71
GO;5205109;Catalão;0.724;0.818;12;207.343;303.489
GO;5205208;Caturaí;0.637;0.728;;113.344;167.392
GO;5205307;Cavalcante;0.514;0.609;1;70.569;91.495
GO;5205406;Ceres;0.707;0.782;5;204.502;275.505
GO;5205455;Cezarina;0.651;0.747;3;144.666;182.1
GO;5205471;Chapadão do Céu;0.713;0.834;1;192.227;381.029
GO;5205497;Cidade Ocidental;0.756;0.795;3;221.967;259.11
GO;5205513;Cocalzinho de Goiás;0.614;0.704;5;122.656;138.4
