Sigla,Código,Município,Produção -  arroz (1985),Produção -  cana-de-açúcar (1985),Produção -  mandioca (1985),
GO,5200050,Abadia de Goiás,,,,
GO,5200100,Abadiânia,576,2625,360,
GO,5200134,Acreúna,6644,619200,2250,
GO,5200159,Adelândia,,,,
GO,5200175,Água Fria de Goiás,,,,
GO,5200209,Água Limpa,745,2310,300,
GO,5200258,Águas Lindas de Goiás,,,,
GO,5200308,Alexânia,360,3300,300,
GO,5200506,Aloândia,575,0,0,
GO,5200555,Alto Horizonte,,,,
GO,5200605,Alto Paraíso de Goiás,2050,160000,1000,
GO,5200803,Alvorada do Norte,578,1480,720,
GO,5200829,Amaralina,,,,
GO,5200852,Americano do Brasil,680,11070,150,
GO,5200902,Amorinópolis,1470,1000,600,
GO,5201108,Anápolis,840,10000,1950,
GO,5201207,Anhanguera,160,450,135,
GO,5201306,Anicuns,4150,120250,900,
GO,5201405,Aparecida de Goiânia,552,1740,280,
GO,5201454,Aparecida do Rio Doce,,,,
GO,5201504,Aporé,9900,2465,2800,
GO,5201603,Araçu,550,38600,190,
GO,5201702,Aragarças,1830,0,140,
GO,5201801,Aragoiânia,660,3100,420,
GO,5202155,Araguapaz,3600,0,240,
GO,5202353,Arenópolis,2000,1160,800,
GO,5202502,Aruanã,6720,2250,700,
GO,5202601,Aurilândia,600,2400,750,
GO,5202809,Avelinópolis,810,15000,380,
GO,5203104,Baliza,2460,600,380,
GO,5203203,Barro Alto,6480,205880,1800,
GO,5203302,Bela Vista de Goiás,5400,13410,1440,
GO,5203401,Bom Jardim de Goiás,6200,240,1030,
GO,5203500,Bom Jesus de Goiás,7260,4600,0,
GO,5203559,Bonfinópolis,,,,
GO,5203575,Bonópolis,,,,
GO,5203609,Brazabrantes,600,23000,240,
GO,5203807,Britânia,1270,2000,240,
GO,5203906,Buriti Alegre,2330,5970,360,
GO,5203939,Buriti de Goiás,,,,
GO,5203962,Buritinópolis,,,,
GO,5204003,Cabeceiras,1884,7800,900,
GO,5204102,Cachoeira Alta,756,2400,600,
GO,5204201,Cachoeira de Goiás,320,1500,600,
GO,5204250,Cachoeira Dourada,2490,1080,200,
GO,5204300,Caçu,630,4800,1350,
GO,5204409,Caiapônia,16875,9450,2090,
GO,5204508,Caldas Novas,4304,1800,640,
GO,5204557,Caldazinha,,,,
GO,5204607,Campestre de Goiás,600,4020,1500,
GO,5204656,Campinaçu,4800,2200,525,
GO,5204706,Campinorte,900,1400,150,
GO,5204805,Campo Alegre de Goiás,1360,11050,1200,
GO,5204854,Campo Limpo de Goiás,,,,
GO,5204904,Campos Belos,840,5550,700,
GO,5204953,Campos Verdes,,,,
GO,5205000,Carmo do Rio Verde,1680,262450,1000,
GO,5205059,Castelândia,,,,
GO,5205109,Catalão,2640,3000,2800,
GO,5205208,Caturaí,1300,7400,85,
GO,5205307,Cavalcante,3000,5700,1200,
GO,5205406,Ceres,1872,800,2760,
GO,5205455,Cezarina,,,,
GO,5205471,Chapadão do Céu,,,,
GO,5205497,Cidade Ocidental,,,,
GO,5205513,Cocalzinho de Goiás,,,,
GO,5205521,Colinas do Sul,,,,
GO,5205703,Córrego do Ouro,650,2400,900,
GO,5205802,Corumbá de Goiás,4320,2425,350,
GO,5205901,Corumbaíba,1458,560,240,
GO,5206206,Cristalina,6048,13000,750,
GO,5206305,Cristianópolis,660,1180,120,
GO,5206404,Crixás,2250,250,3200,
GO,5206503,Cromínia,480,600,90,
GO,5206602,Cumari,900,1375,450,
GO,5206701,Damianópolis,420,600,960,
GO,5206800,Damolândia,280,2168,400,
GO,5206909,Davinópolis,330,850,350,
GO,5207105,Diorama,560,940,600,
GO,5207253,Doverlândia,14280,4030,1200,
GO,5207352,Edealina,,,,
GO,5207402,Edéia,9130,900,90,
GO,5207501,Estrela do Norte,708,1325,320,
GO,5207535,Faina,,,,
GO,5207600,Fazenda Nova,3900,3200,450,
GO,5207808,Firminópolis,3470,1950,720,
GO,5207907,Flores de Goiás,960,4400,525,
GO,5208004,Formosa,3720,541500,2400,
GO,5208103,Formoso,17520,1877,900,
GO,5208152,Gameleira de Goiás,,,,
GO,5208301,Divinópolis de Goiás,600,1250,220,
GO,5208400,Goianápolis,1320,4300,900,
GO,5208509,Goiandira,1050,4900,450,
GO,5208608,Goianésia,4350,530400,1500,
GO,5208707,Goiânia,576,7000,980,
GO,5208806,Goianira,1000,5000,2000,
GO,5208905,Goiás,4200,6750,960,
GO,5209101,Goiatuba,11250,1200,1000,
GO,5209150,Gouvelândia,,,,
GO,5209200,Guapó,1080,4000,1350,
GO,5209291,Guaraíta,,,,
GO,5209408,Guarani de Goiás,400,375,480,
GO,5209457,Guarinos,,,,
GO,5209606,Heitoraí,1300,17100,1000,
GO,5209705,Hidrolândia,3000,3600,2160,
GO,5209804,Hidrolina,960,2400,300,
GO,5209903,Iaciara,640,3360,1500,
GO,5209937,Inaciolândia,,,,
GO,5209952,Indiara,2340,2800,150,
GO,5210000,Inhumas,2380,163000,1700,
GO,5210109,Ipameri,6160,126400,2250,
GO,5210158,Ipiranga de Goiás,,,,
GO,5210208,Iporá,2380,2300,2000,
GO,5210307,Israelândia,600,1000,1600,
GO,5210406,Itaberaí,5561,254050,3000,
