Sigla,Código,Município,Produção -  arroz (1975),Produção -  cana-de-açúcar (1975),Produção -  mandioca (1975),
GO,5200050,Abadia de Goiás,,,,
GO,5200100,Abadiânia,1750,1010,250,
GO,5200134,Acreúna,,,,
GO,5200159,Adelândia,,,,
GO,5200175,Água Fria de Goiás,,,,
GO,5200209,Água Limpa,1200,,,
GO,5200258,Águas Lindas de Goiás,,,,
GO,5200308,Alexânia,2700,1525,180,
GO,5200506,Aloândia,640,,,
GO,5200555,Alto Horizonte,,,,
GO,5200605,Alto Paraíso de Goiás,1300,800,3200,
GO,5200803,Alvorada do Norte,1080,800,3000,
GO,5200829,Amaralina,,,,
GO,5200852,Americano do Brasil,,,,
GO,5200902,Amorinópolis,3860,70,75,
GO,5201108,Anápolis,8200,1650,1360,
GO,5201207,Anhanguera,90,413,90,
GO,5201306,Anicuns,12000,1527,234,
GO,5201405,Aparecida de Goiânia,1320,630,150,
GO,5201454,Aparecida do Rio Doce,,,,
GO,5201504,Aporé,14368,1000,600,
GO,5201603,Araçu,540,1126,90,
GO,5201702,Aragarças,440,111,150,
GO,5201801,Aragoiânia,2080,375,28,
GO,5202155,Araguapaz,,,,
GO,5202353,Arenópolis,,,,
GO,5202502,Aruanã,18000,100,600,
GO,5202601,Aurilândia,1600,160,300,
GO,5202809,Avelinópolis,3030,75,50,
GO,5203104,Baliza,1152,1018,450,
GO,5203203,Barro Alto,29732,2800,280,
GO,5203302,Bela Vista de Goiás,7956,1540,4800,
GO,5203401,Bom Jardim de Goiás,3224,1350,600,
GO,5203500,Bom Jesus de Goiás,16800,375,989,
GO,5203559,Bonfinópolis,,,,
GO,5203575,Bonópolis,,,,
GO,5203609,Brazabrantes,1512,2863,1058,
GO,5203807,Britânia,1200,900,460,
GO,5203906,Buriti Alegre,2850,300,,
GO,5203939,Buriti de Goiás,,,,
GO,5203962,Buritinópolis,,,,
GO,5204003,Cabeceiras,2220,2400,800,
GO,5204102,Cachoeira Alta,10400,795,3850,
GO,5204201,Cachoeira de Goiás,630,400,200,
GO,5204250,Cachoeira Dourada,,,,
GO,5204300,Caçu,11000,,23634,
GO,5204409,Caiapônia,18344,22821,6000,
GO,5204508,Caldas Novas,2400,120,1490,
GO,5204557,Caldazinha,,,,
GO,5204607,Campestre de Goiás,2860,600,270,
GO,5204656,Campinaçu,,,,
GO,5204706,Campinorte,6600,445,200,
GO,5204805,Campo Alegre de Goiás,2724,942,220,
GO,5204854,Campo Limpo de Goiás,,,,
GO,5204904,Campos Belos,2300,40,4000,
GO,5204953,Campos Verdes,,,,
GO,5205000,Carmo do Rio Verde,14000,1860,600,
GO,5205059,Castelândia,,,,
GO,5205109,Catalão,9000,2600,800,
GO,5205208,Caturaí,6268,2000,3298,
GO,5205307,Cavalcante,2000,4200,7600,
GO,5205406,Ceres,30000,1015,480,
GO,5205455,Cezarina,,,,
GO,5205471,Chapadão do Céu,,,,
GO,5205497,Cidade Ocidental,,,,
GO,5205513,Cocalzinho de Goiás,,,,
GO,5205521,Colinas do Sul,,,,
GO,5205703,Córrego do Ouro,1900,30,60,
GO,5205802,Corumbá de Goiás,4800,600,369,
GO,5205901,Corumbaíba,2300,1900,80,
GO,5206206,Cristalina,1680,240,550,
GO,5206305,Cristianópolis,508,225,45,
GO,5206404,Crixás,18000,800,5000,
GO,5206503,Cromínia,2040,543,600,
GO,5206602,Cumari,990,165,180,
GO,5206701,Damianópolis,220,900,7600,
GO,5206800,Damolândia,1568,4315,50,
GO,5206909,Davinópolis,900,413,100,
GO,5207105,Diorama,3200,30,,
GO,5207253,Doverlândia,,,,
GO,5207352,Edealina,,,,
GO,5207402,Edéia,12000,250,150,
GO,5207501,Estrela do Norte,1680,1400,750,
GO,5207535,Faina,,,,
GO,5207600,Fazenda Nova,6160,3688,2420,
GO,5207808,Firminópolis,7200,3737,200,
GO,5207907,Flores de Goiás,1344,4400,4000,
GO,5208004,Formosa,5040,6000,10000,
GO,5208103,Formoso,8640,1050,600,
GO,5208152,Gameleira de Goiás,,,,
GO,5208301,Divinópolis de Goiás,600,552,50,
GO,5208400,Goianápolis,1994,1854,377,
GO,5208509,Goiandira,1190,3000,240,
GO,5208608,Goianésia,32000,182190,2000,
GO,5208707,Goiânia,9216,5030,2700,
GO,5208806,Goianira,3690,1201,160,
GO,5208905,Goiás,17640,535,180,
GO,5209101,Goiatuba,21000,1700,80,
GO,5209150,Gouvelândia,,,,
GO,5209200,Guapó,10320,850,480,
GO,5209291,Guaraíta,,,,
GO,5209408,Guarani de Goiás,602,820,200,
GO,5209457,Guarinos,,,,
GO,5209606,Heitoraí,8000,817,1268,
GO,5209705,Hidrolândia,4800,2920,900,
GO,5209804,Hidrolina,4400,1130,50,
GO,5209903,Iaciara,1790,1000,1200,
GO,5209937,Inaciolândia,,,,
GO,5209952,Indiara,,,,
GO,5210000,Inhumas,14480,999,92,
GO,5210109,Ipameri,8630,2900,100,
GO,5210158,Ipiranga de Goiás,,,,
GO,5210208,Iporá,6240,555,270,
GO,5210307,Israelândia,2460,45,20,
GO,5210406,Itaberaí,56016,718,130,
GO,5210562,Itaguari,,,,
GO,5210604,Itaguaru,11000,300,144,
GO,5210802,Itajá,5442,700,3955,
GO,5210901,Itapaci,5760,1000,800,
GO,5211008,Itapirapuã,7680,150,250,
GO,5211206,Itapuranga,28000,1350,630,
GO,5211305,Itarumã,8448,,28814,
GO,5211404,Itauçu,7308,380,80,
GO,5211503,Itumbiara,21450,47500,3955,
GO,5211602,Ivolândia,4400,90,85,
GO,5211701,Jandaia,17400,150,240,
GO,5211800,Jaraguá,42240,3587,7500,
GO,5211909,Jataí,54000,7400,3000,
GO,5212006,Jaupaci,1400,120,40,
GO,5212055,Jesúpolis,,,,
GO,5212105,Joviânia,7350,150,,
GO,5212204,Jussara,12240,1455,600,
GO,5212253,Lagoa Santa,,,,
GO,5212303,Leopoldo de Bulhões,2160,300,150,
GO,5212501,Luziânia,3360,1470,3750,
GO,5212600,Mairipotaba,4320,433,400,
GO,5212709,Mambaí,1200,2000,1600,
GO,5212808,Mara Rosa,8640,120,50,
GO,5212907,Marzagão,48,218,30,
GO,5212956,Matrinchã,,,,
GO,5213004,Maurilândia,2280,315,1584,
GO,5213053,Mimoso de Goiás,,,,
GO,5213087,Minaçu,,,,
GO,5213103,Mineiros,18000,2000,4000,
GO,5213400,Moiporá,1800,75,30,
GO,5213509,Monte Alegre de Goiás,1360,750,3600,
GO,5213707,Montes Claros de Goiás,6120,175,200,
GO,5213756,Montividiu,,,,
GO,5213772,Montividiu do Norte,,,,
GO,5213806,Morrinhos,9600,780,3299,
